,Unnamed: 0,Day,Month,Year,Latitude,Longitude,X..km2,Total.Wieght..g..km.2,Source,Mesh.Size,Notes,CutOff,TopLim,Microplastics...km.2,Macroplastics....km.2,Microplastics.Weight..g...km.2,Macroplastics.Weight..g...km.2,Ship,CruiseNo,CruiseNoCode,StationNo,TimeLocal,TimeLocalFormatted,MonthUTC,DayUTC,YearUTC,TowAreaM2,CountPlasticFragments,CountPlasticPellets,CountTotalPlastics,FragmentDensityNoSqKm,PelletDensityNoSqKm,u10Mps,v10Mps,count_total
221,222,16.0,9.0,2007,37.1755,-133.9495,115039.75,1464.89,C. Moore,335.0,Corrected,4750.0,,100691.25,14348.5,306.61,1158.28,,,,,,,,,,,,,,,,,,115039.75
222,223,11.0,9.0,2009,28.0083,-160.3058,310453.97,426.2,C. Moore,335.0,Corrected,4750.0,,301683.09,8770.88,195.13,231.07,,,,,,,,,,,,,,,,,,310453.97000000003
223,224,8.0,7.0,2009,34.3877,-170.019,140190.4,816.46,C. Moore,335.0,Corrected,4750.0,,129304.17,10886.23,285.33,531.13,,,,,,,,,,,,,,,,,,140190.4
224,225,27.0,9.0,2009,35.9262,-139.7735,102128.99,8887.78,C. Moore,335.0,Corrected,4750.0,,93644.82,8484.17,808.62,8079.16,,,,,,,,,,,,,,,,,,102128.99
225,226,12.0,7.0,2010,34.4452,-176.4782,124677.53,114.28,C. Moore,335.0,Corrected,4750.0,,123740.1,937.43,99.28,15.0,,,,,,,,,,,,,,,,,,124677.53
226,227,26.0,9.0,2009,35.3843,-141.0217,99584.25,5832.82,C. Moore,335.0,Corrected,4750.0,,92355.91,7228.34,878.68,4954.14,,,,,,,,,,,,,,,,,,99584.25
227,228,13.0,2.0,2008,35.9653,-139.8182,122776.52,710.38,C. Moore,335.0,Corrected,4750.0,,114839.59,7936.93,255.15,455.23,,,,,,,,,,,,,,,,,,122776.51999999999
228,229,29.0,1.0,2008,33.0283,-167.5915,114722.23,7858.93,C. Moore,335.0,Corrected,4750.0,,112119.13,2603.1,777.95,7080.98,,,,,,,,,,,,,,,,,,114722.23000000001
229,230,13.0,2.0,2008,35.8875,-139.3993,141183.67,17081.16,C. Moore,335.0,Corrected,4750.0,,126656.53,14527.14,612.6,16468.56,,,,,,,,,,,,,,,,,,141183.66999999998
230,231,13.0,9.0,2009,31.1502,-159.979,257992.81,457.66,C. Moore,335.0,Corrected,4750.0,,247229.92,10762.89,299.33,158.33,,,,,,,,,,,,,,,,,,257992.81
231,232,12.0,7.0,2009,34.5387,-176.3967,131250.1,1314.69,C. Moore,335.0,Corrected,4750.0,,112936.13,18313.97,457.6,857.09,,,,,,,,,,,,,,,,,,131250.1
232,233,18.0,9.0,2007,38.1515,-137.4531,229903.91,3756.22,C. Moore,335.0,Corrected,4750.0,,215621.7,14282.21,101.76,3654.46,,,,,,,,,,,,,,,,,,229903.91
233,234,5.0,2.0,2008,34.5145,-157.8488,140967.74,983.44,C. Moore,335.0,Corrected,4750.0,,135429.72,5538.02,568.59,414.85,,,,,,,,,,,,,,,,,,140967.74
234,235,16.0,7.0,2009,36.0995,-179.588,169029.95,213.12,C. Moore,335.0,Corrected,4750.0,,159378.55,9651.4,105.13,107.99,,,,,,,,,,,,,,,,,,169029.94999999998
235,236,14.0,2.0,2008,35.7633,-138.5103,287774.25,865.42,C. Moore,335.0,Corrected,4750.0,,270387.73,17386.52,508.93,356.49,,,,,,,,,,,,,,,,,,287774.25
236,237,22.0,9.0,2007,36.5084,-145.0356,136205.32,259.42,C. Moore,335.0,Corrected,4750.0,,128908.61,7296.71,219.04,40.38,,,,,,,,,,,,,,,,,,136205.32
237,238,27.0,9.0,2009,35.9848,-139.9853,178484.39,12479.85,C. Moore,335.0,Corrected,4750.0,,173182.24,5302.15,836.91,11642.94,,,,,,,,,,,,,,,,,,178484.38999999998
238,239,14.0,7.0,2009,34.1563,-179.988,129535.09,1000.73,C. Moore,335.0,Corrected,4750.0,,121808.44,7726.65,551.27,449.46,,,,,,,,,,,,,,,,,,129535.09
239,240,31.0,1.0,2008,32.2592,-167.992,144121.8,1171.51,C. Moore,335.0,Corrected,4750.0,,133989.28,10132.52,632.95,538.56,,,,,,,,,,,,,,,,,,144121.8
240,241,18.0,9.0,2009,32.005,-159.0086,370095.39,708.26,C. Moore,335.0,Corrected,4750.0,,358471.32,11624.07,512.86,195.4,,,,,,,,,,,,,,,,,,370095.39
241,242,9.0,2.0,2008,35.6912,-147.6655,205983.52,1734.26,C. Moore,335.0,Corrected,4750.0,,191284.7,14698.82,878.53,855.73,,,,,,,,,,,,,,,,,,205983.52000000002
242,243,26.0,9.0,2009,35.841,-140.8242,171896.35,5838.18,C. Moore,335.0,Corrected,4750.0,,152116.74,19779.61,1317.16,4521.02,,,,,,,,,,,,,,,,,,171896.34999999998
243,244,11.0,2.0,2008,34.679,-142.0756,325701.95,10944.81,C. Moore,335.0,Corrected,4750.0,,308807.3,16894.65,602.55,10342.26,,,,,,,,,,,,,,,,,,325701.95
244,245,26.0,9.0,2009,35.007,-141.434,194230.45,7415.86,C. Moore,335.0,Corrected,4750.0,,182359.74,11870.71,1240.9,6174.96,,,,,,,,,,,,,,,,,,194230.44999999998
245,246,4.0,7.0,2009,31.3098,-163.994,314827.27,1804.87,C. Moore,335.0,Corrected,4750.0,,300467.76,14359.51,612.44,1192.43,,,,,,,,,,,,,,,,,,314827.27
246,247,14.0,2.0,2008,35.7626,-138.7748,245603.21,1116.36,C. Moore,335.0,Corrected,4750.0,,235044.05,10559.16,648.36,468.0,,,,,,,,,,,,,,,,,,245603.21
247,248,13.0,9.0,2009,31.1583,-160.2433,425355.55,587.95,C. Moore,335.0,Corrected,4750.0,,403382.12,21973.43,307.83,280.12,,,,,,,,,,,,,,,,,,425355.55
248,249,18.0,7.0,2009,39.3125,-179.7445,278159.56,324.03,C. Moore,335.0,Corrected,4750.0,,267461.12,10698.44,263.62,60.41,,,,,,,,,,,,,,,,,,278159.56
249,250,27.0,9.0,2009,36.074,-140.8297,223710.91,10145.36,C. Moore,335.0,Corrected,4750.0,,215169.22,8541.69,1357.18,8788.18,,,,,,,,,,,,,,,,,,223710.91
250,251,25.0,9.0,2009,34.6675,-142.0818,271626.63,2124.78,C. Moore,335.0,Corrected,4750.0,,261517.55,10109.08,1145.08,979.7,,,,,,,,,,,,,,,,,,271626.63
251,252,13.0,9.0,2009,31.151,-160.1013,762220.89,2939.72,C. Moore,335.0,Corrected,4750.0,,697192.54,65028.35,1064.17,1875.55,,,,,,,,,,,,,,,,,,762220.89
252,253,24.0,9.0,2009,34.2913,-144.3522,361175.11,6224.86,C. Moore,335.0,Corrected,4750.0,,335491.55,25683.56,1055.24,5169.62,,,,,,,,,,,,,,,,,,361175.11
253,254,13.0,2.0,2008,36.0408,-140.3313,653859.27,1037.2,C. Moore,335.0,Corrected,4750.0,,592626.27,61233.0,477.77,559.43,,,,,,,,,,,,,,,,,,653859.27
254,255,13.0,2.0,2008,36.083,-140.7946,494785.01,1736.25,C. Moore,335.0,Corrected,4750.0,,450530.68,44254.33,598.6,1137.65,,,,,,,,,,,,,,,,,,494785.01
